Game_#:winner,result,reason
1:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
2:white,1-0,Termination.CHECKMATE
3:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
4:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
5:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
6:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
7:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
8:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
9:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
10:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
11:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
12:white,1-0,Termination.CHECKMATE
13:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
14:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
15:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
16:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
17:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
18:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
19:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
20:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
21:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
22:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
23:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
24:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
25:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
26:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
27:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
28:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
29:white,1-0,Termination.CHECKMATE
30:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
31:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
32:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
33:white,1-0,Termination.CHECKMATE
34:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
35:white,1-0,Termination.CHECKMATE
36:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
37:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
38:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
39:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
40:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
41:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
42:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
43:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
44:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
45:white,1-0,Termination.CHECKMATE
46:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
47:black,0-1,Termination.CHECKMATE
48:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
49:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
50:white,1-0,Termination.CHECKMATE
51:white,1-0,Termination.CHECKMATE
52:white,1-0,Termination.CHECKMATE
53:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
54:white,1-0,Termination.CHECKMATE
55:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
56:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
