Game_#:winner,result,reason
1:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
2:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
3:None,1/2-1/2,Termination.STALEMATE
4:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
5:white,1-0,Termination.CHECKMATE
6:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
7:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
8:white,1-0,Termination.CHECKMATE
9:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
10:white,1-0,Termination.CHECKMATE
11:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
12:white,1-0,Termination.CHECKMATE
13:white,1-0,Termination.CHECKMATE
14:white,1-0,Termination.CHECKMATE
15:white,1-0,Termination.CHECKMATE
16:white,1-0,Termination.CHECKMATE
17:white,1-0,Termination.CHECKMATE
18:white,1-0,Termination.CHECKMATE
19:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
20:None,1/2-1/2,Termination.STALEMATE
21:white,1-0,Termination.CHECKMATE
22:white,1-0,Termination.CHECKMATE
23:white,1-0,Termination.CHECKMATE
24:black,0-1,Termination.CHECKMATE
25:black,0-1,Termination.CHECKMATE
26:white,1-0,Termination.CHECKMATE
27:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
28:white,1-0,Termination.CHECKMATE
29:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
30:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
