Game_#:winner,result,reason
1:white,1-0,Termination.CHECKMATE
2:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
3:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
4:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
5:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
6:white,1-0,Termination.CHECKMATE
7:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
8:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
9:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
10:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
11:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
12:white,1-0,Termination.CHECKMATE
13:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
14:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
15:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
16:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
17:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
18:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
19:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
20:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
21:white,1-0,Termination.CHECKMATE
22:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
23:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
24:white,1-0,Termination.CHECKMATE
25:white,1-0,Termination.CHECKMATE
26:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
27:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
28:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
29:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
30:white,1-0,Termination.CHECKMATE
31:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
32:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
33:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
34:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
35:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
36:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
37:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
38:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
39:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
40:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
41:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
42:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
43:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
44:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
45:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
46:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
47:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
48:white,1-0,Termination.CHECKMATE
49:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
50:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
51:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
52:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
53:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
54:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
55:white,1-0,Termination.CHECKMATE
56:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
57:white,1-0,Termination.CHECKMATE
58:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
59:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
60:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
61:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
62:white,1-0,Termination.CHECKMATE
63:white,1-0,Termination.CHECKMATE
64:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
65:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
66:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
67:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
68:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
69:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
70:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
71:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
72:white,1-0,Termination.CHECKMATE
73:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
74:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
75:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
76:white,1-0,Termination.CHECKMATE
77:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
78:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
79:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
80:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
81:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
82:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
83:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
84:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
85:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
86:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
87:white,1-0,Termination.CHECKMATE
88:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
89:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
90:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
91:white,1-0,Termination.CHECKMATE
92:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
93:white,1-0,Termination.CHECKMATE
94:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
95:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
96:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
97:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
98:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
99:white,1-0,Termination.CHECKMATE
100:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
