Game_#:winner,result,reason
1:None,1/2-1/2,Termination.STALEMATE
2:None,1/2-1/2,Termination.STALEMATE
3:None,1/2-1/2,Termination.STALEMATE
4:white,1-0,Termination.CHECKMATE
5:None,1/2-1/2,Termination.STALEMATE
6:None,1/2-1/2,Termination.STALEMATE
7:None,1/2-1/2,Termination.STALEMATE
8:None,1/2-1/2,Termination.STALEMATE
9:None,1/2-1/2,Termination.STALEMATE
10:white,1-0,Termination.CHECKMATE
11:None,1/2-1/2,Termination.STALEMATE
12:None,1/2-1/2,Termination.STALEMATE
13:white,1-0,Termination.CHECKMATE
14:white,1-0,Termination.CHECKMATE
15:None,1/2-1/2,Termination.STALEMATE
16:None,1/2-1/2,Termination.STALEMATE
17:white,1-0,Termination.CHECKMATE
18:white,1-0,Termination.CHECKMATE
19:None,1/2-1/2,Termination.STALEMATE
20:white,1-0,Termination.CHECKMATE
21:white,1-0,Termination.CHECKMATE
22:None,1/2-1/2,Termination.STALEMATE
23:None,1/2-1/2,Termination.STALEMATE
24:None,1/2-1/2,Termination.STALEMATE
25:None,1/2-1/2,Termination.STALEMATE
26:white,1-0,Termination.CHECKMATE
27:None,1/2-1/2,Termination.STALEMATE
28:None,1/2-1/2,Termination.STALEMATE
29:None,1/2-1/2,Termination.STALEMATE
30:white,1-0,Termination.CHECKMATE
31:white,1-0,Termination.CHECKMATE
32:white,1-0,Termination.CHECKMATE
33:None,1/2-1/2,Termination.STALEMATE
34:white,1-0,Termination.CHECKMATE
35:None,1/2-1/2,Termination.STALEMATE
36:white,1-0,Termination.CHECKMATE
37:None,1/2-1/2,Termination.STALEMATE
38:None,1/2-1/2,Termination.STALEMATE
39:white,1-0,Termination.CHECKMATE
40:white,1-0,Termination.CHECKMATE
41:None,1/2-1/2,Termination.STALEMATE
42:None,1/2-1/2,Termination.STALEMATE
43:white,1-0,Termination.CHECKMATE
44:white,1-0,Termination.CHECKMATE
45:white,1-0,Termination.CHECKMATE
46:None,1/2-1/2,Termination.STALEMATE
47:None,1/2-1/2,Termination.STALEMATE
48:None,1/2-1/2,Termination.STALEMATE
49:white,1-0,Termination.CHECKMATE
50:None,1/2-1/2,Termination.STALEMATE
51:white,1-0,Termination.CHECKMATE
52:None,1/2-1/2,Termination.STALEMATE
53:white,1-0,Termination.CHECKMATE
54:None,1/2-1/2,Termination.STALEMATE
55:white,1-0,Termination.CHECKMATE
56:white,1-0,Termination.CHECKMATE
57:None,1/2-1/2,Termination.STALEMATE
58:None,1/2-1/2,Termination.STALEMATE
59:white,1-0,Termination.CHECKMATE
60:None,1/2-1/2,Termination.STALEMATE
61:white,1-0,Termination.CHECKMATE
62:white,1-0,Termination.CHECKMATE
63:None,1/2-1/2,Termination.STALEMATE
64:white,1-0,Termination.CHECKMATE
65:white,1-0,Termination.CHECKMATE
66:None,1/2-1/2,Termination.STALEMATE
67:white,1-0,Termination.CHECKMATE
68:white,1-0,Termination.CHECKMATE
69:white,1-0,Termination.CHECKMATE
70:None,1/2-1/2,Termination.STALEMATE
71:None,1/2-1/2,Termination.STALEMATE
72:None,1/2-1/2,Termination.STALEMATE
73:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
74:white,1-0,Termination.CHECKMATE
75:None,1/2-1/2,Termination.STALEMATE
76:None,1/2-1/2,Termination.STALEMATE
77:white,1-0,Termination.CHECKMATE
78:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
79:white,1-0,Termination.CHECKMATE
80:white,1-0,Termination.CHECKMATE
81:white,1-0,Termination.CHECKMATE
82:white,1-0,Termination.CHECKMATE
83:None,1/2-1/2,Termination.STALEMATE
84:white,1-0,Termination.CHECKMATE
85:white,1-0,Termination.CHECKMATE
86:None,1/2-1/2,Termination.STALEMATE
87:white,1-0,Termination.CHECKMATE
88:white,1-0,Termination.CHECKMATE
89:None,1/2-1/2,Termination.STALEMATE
90:None,1/2-1/2,Termination.STALEMATE
91:None,1/2-1/2,Termination.STALEMATE
92:None,1/2-1/2,Termination.STALEMATE
93:None,1/2-1/2,Termination.STALEMATE
94:None,1/2-1/2,Termination.STALEMATE
95:white,1-0,Termination.CHECKMATE
96:None,1/2-1/2,Termination.STALEMATE
97:None,1/2-1/2,Termination.STALEMATE
98:None,1/2-1/2,Termination.STALEMATE
99:white,1-0,Termination.CHECKMATE
100:None,1/2-1/2,Termination.STALEMATE
