Game_#:winner,result,reason
1:white,1-0,Termination.CHECKMATE
2:white,1-0,Termination.CHECKMATE
3:white,1-0,Termination.CHECKMATE
4:white,1-0,Termination.CHECKMATE
5:white,1-0,Termination.CHECKMATE
6:white,1-0,Termination.CHECKMATE
7:white,1-0,Termination.CHECKMATE
8:white,1-0,Termination.CHECKMATE
9:white,1-0,Termination.CHECKMATE
10:white,1-0,Termination.CHECKMATE
11:white,1-0,Termination.CHECKMATE
12:None,1/2-1/2,Termination.STALEMATE
13:white,1-0,Termination.CHECKMATE
14:white,1-0,Termination.CHECKMATE
15:None,1/2-1/2,Termination.STALEMATE
16:None,1/2-1/2,Termination.STALEMATE
17:white,1-0,Termination.CHECKMATE
18:white,1-0,Termination.CHECKMATE
19:white,1-0,Termination.CHECKMATE
20:white,1-0,Termination.CHECKMATE
21:white,1-0,Termination.CHECKMATE
22:white,1-0,Termination.CHECKMATE
23:white,1-0,Termination.CHECKMATE
24:white,1-0,Termination.CHECKMATE
25:white,1-0,Termination.CHECKMATE
26:white,1-0,Termination.CHECKMATE
27:white,1-0,Termination.CHECKMATE
28:white,1-0,Termination.CHECKMATE
29:white,1-0,Termination.CHECKMATE
30:white,1-0,Termination.CHECKMATE
31:white,1-0,Termination.CHECKMATE
32:None,1/2-1/2,Termination.STALEMATE
33:white,1-0,Termination.CHECKMATE
34:white,1-0,Termination.CHECKMATE
35:white,1-0,Termination.CHECKMATE
36:None,1/2-1/2,Termination.STALEMATE
37:white,1-0,Termination.CHECKMATE
38:None,1/2-1/2,Termination.STALEMATE
39:white,1-0,Termination.CHECKMATE
40:white,1-0,Termination.CHECKMATE
41:white,1-0,Termination.CHECKMATE
42:white,1-0,Termination.CHECKMATE
43:white,1-0,Termination.CHECKMATE
44:white,1-0,Termination.CHECKMATE
45:white,1-0,Termination.CHECKMATE
46:white,1-0,Termination.CHECKMATE
47:white,1-0,Termination.CHECKMATE
48:None,1/2-1/2,Termination.STALEMATE
49:white,1-0,Termination.CHECKMATE
50:white,1-0,Termination.CHECKMATE
51:white,1-0,Termination.CHECKMATE
52:white,1-0,Termination.CHECKMATE
53:white,1-0,Termination.CHECKMATE
54:white,1-0,Termination.CHECKMATE
55:white,1-0,Termination.CHECKMATE
56:white,1-0,Termination.CHECKMATE
57:white,1-0,Termination.CHECKMATE
58:white,1-0,Termination.CHECKMATE
59:white,1-0,Termination.CHECKMATE
60:white,1-0,Termination.CHECKMATE
61:white,1-0,Termination.CHECKMATE
62:white,1-0,Termination.CHECKMATE
63:white,1-0,Termination.CHECKMATE
64:white,1-0,Termination.CHECKMATE
65:white,1-0,Termination.CHECKMATE
66:white,1-0,Termination.CHECKMATE
67:white,1-0,Termination.CHECKMATE
68:white,1-0,Termination.CHECKMATE
69:white,1-0,Termination.CHECKMATE
70:white,1-0,Termination.CHECKMATE
71:white,1-0,Termination.CHECKMATE
72:white,1-0,Termination.CHECKMATE
73:white,1-0,Termination.CHECKMATE
74:white,1-0,Termination.CHECKMATE
75:white,1-0,Termination.CHECKMATE
76:white,1-0,Termination.CHECKMATE
77:white,1-0,Termination.CHECKMATE
78:white,1-0,Termination.CHECKMATE
79:None,1/2-1/2,Termination.STALEMATE
80:white,1-0,Termination.CHECKMATE
81:white,1-0,Termination.CHECKMATE
82:white,1-0,Termination.CHECKMATE
83:white,1-0,Termination.CHECKMATE
84:white,1-0,Termination.CHECKMATE
85:white,1-0,Termination.CHECKMATE
86:None,1/2-1/2,Termination.STALEMATE
87:white,1-0,Termination.CHECKMATE
88:white,1-0,Termination.CHECKMATE
89:white,1-0,Termination.CHECKMATE
90:white,1-0,Termination.CHECKMATE
91:white,1-0,Termination.CHECKMATE
92:white,1-0,Termination.CHECKMATE
93:white,1-0,Termination.CHECKMATE
94:white,1-0,Termination.CHECKMATE
95:white,1-0,Termination.CHECKMATE
96:white,1-0,Termination.CHECKMATE
97:white,1-0,Termination.CHECKMATE
98:white,1-0,Termination.CHECKMATE
99:white,1-0,Termination.CHECKMATE
100:white,1-0,Termination.CHECKMATE
