Game_#:winner,result,reason
1:black,0-1,Termination.CHECKMATE
2:None,1/2-1/2,Termination.STALEMATE
3:black,0-1,Termination.CHECKMATE
4:None,1/2-1/2,Termination.STALEMATE
5:None,1/2-1/2,Termination.STALEMATE
6:None,1/2-1/2,Termination.STALEMATE
7:None,1/2-1/2,Termination.STALEMATE
8:None,1/2-1/2,Termination.STALEMATE
9:None,1/2-1/2,Termination.STALEMATE
10:None,1/2-1/2,Termination.STALEMATE
11:None,1/2-1/2,Termination.STALEMATE
12:None,1/2-1/2,Termination.STALEMATE
13:None,1/2-1/2,Termination.STALEMATE
14:None,1/2-1/2,Termination.STALEMATE
15:None,1/2-1/2,Termination.STALEMATE
16:None,1/2-1/2,Termination.STALEMATE
17:None,1/2-1/2,Termination.STALEMATE
18:None,1/2-1/2,Termination.STALEMATE
19:None,1/2-1/2,Termination.STALEMATE
20:None,1/2-1/2,Termination.STALEMATE
21:None,1/2-1/2,Termination.STALEMATE
22:None,1/2-1/2,Termination.STALEMATE
23:None,1/2-1/2,Termination.STALEMATE
24:None,1/2-1/2,Termination.STALEMATE
25:None,1/2-1/2,Termination.STALEMATE
26:None,1/2-1/2,Termination.STALEMATE
27:None,1/2-1/2,Termination.STALEMATE
28:None,1/2-1/2,Termination.STALEMATE
29:None,1/2-1/2,Termination.STALEMATE
30:None,1/2-1/2,Termination.STALEMATE
