Game_#:winner,result,reason
1:black,0-1,Termination.CHECKMATE
2:black,0-1,Termination.CHECKMATE
3:black,0-1,Termination.CHECKMATE
4:black,0-1,Termination.CHECKMATE
5:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
6:black,0-1,Termination.CHECKMATE
7:black,0-1,Termination.CHECKMATE
8:black,0-1,Termination.CHECKMATE
9:black,0-1,Termination.CHECKMATE
10:black,0-1,Termination.CHECKMATE
11:black,0-1,Termination.CHECKMATE
12:black,0-1,Termination.CHECKMATE
13:black,0-1,Termination.CHECKMATE
14:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
15:black,0-1,Termination.CHECKMATE
16:black,0-1,Termination.CHECKMATE
17:black,0-1,Termination.CHECKMATE
18:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
19:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
20:black,0-1,Termination.CHECKMATE
21:black,0-1,Termination.CHECKMATE
22:black,0-1,Termination.CHECKMATE
23:black,0-1,Termination.CHECKMATE
24:black,0-1,Termination.CHECKMATE
25:black,0-1,Termination.CHECKMATE
26:black,0-1,Termination.CHECKMATE
27:black,0-1,Termination.CHECKMATE
28:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
29:black,0-1,Termination.CHECKMATE
30:None,1/2-1/2,Termination.STALEMATE
31:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
32:black,0-1,Termination.CHECKMATE
33:black,0-1,Termination.CHECKMATE
34:black,0-1,Termination.CHECKMATE
35:black,0-1,Termination.CHECKMATE
36:black,0-1,Termination.CHECKMATE
37:black,0-1,Termination.CHECKMATE
38:black,0-1,Termination.CHECKMATE
39:black,0-1,Termination.CHECKMATE
40:black,0-1,Termination.CHECKMATE
41:black,0-1,Termination.CHECKMATE
42:black,0-1,Termination.CHECKMATE
43:black,0-1,Termination.CHECKMATE
44:black,0-1,Termination.CHECKMATE
45:black,0-1,Termination.CHECKMATE
46:black,0-1,Termination.CHECKMATE
47:black,0-1,Termination.CHECKMATE
48:black,0-1,Termination.CHECKMATE
49:black,0-1,Termination.CHECKMATE
50:black,0-1,Termination.CHECKMATE
51:black,0-1,Termination.CHECKMATE
52:black,0-1,Termination.CHECKMATE
53:black,0-1,Termination.CHECKMATE
54:black,0-1,Termination.CHECKMATE
55:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
56:black,0-1,Termination.CHECKMATE
57:black,0-1,Termination.CHECKMATE
58:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
59:black,0-1,Termination.CHECKMATE
60:black,0-1,Termination.CHECKMATE
61:black,0-1,Termination.CHECKMATE
62:black,0-1,Termination.CHECKMATE
63:black,0-1,Termination.CHECKMATE
64:black,0-1,Termination.CHECKMATE
65:black,0-1,Termination.CHECKMATE
66:black,0-1,Termination.CHECKMATE
67:black,0-1,Termination.CHECKMATE
68:black,0-1,Termination.CHECKMATE
69:black,0-1,Termination.CHECKMATE
70:black,0-1,Termination.CHECKMATE
71:black,0-1,Termination.CHECKMATE
72:black,0-1,Termination.CHECKMATE
73:black,0-1,Termination.CHECKMATE
74:black,0-1,Termination.CHECKMATE
75:black,0-1,Termination.CHECKMATE
76:black,0-1,Termination.CHECKMATE
77:black,0-1,Termination.CHECKMATE
78:black,0-1,Termination.CHECKMATE
79:black,0-1,Termination.CHECKMATE
80:black,0-1,Termination.CHECKMATE
81:black,0-1,Termination.CHECKMATE
82:black,0-1,Termination.CHECKMATE
83:black,0-1,Termination.CHECKMATE
84:black,0-1,Termination.CHECKMATE
85:black,0-1,Termination.CHECKMATE
86:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
87:black,0-1,Termination.CHECKMATE
88:black,0-1,Termination.CHECKMATE
89:black,0-1,Termination.CHECKMATE
90:black,0-1,Termination.CHECKMATE
91:black,0-1,Termination.CHECKMATE
92:black,0-1,Termination.CHECKMATE
93:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
94:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
95:black,0-1,Termination.CHECKMATE
96:black,0-1,Termination.CHECKMATE
97:black,0-1,Termination.CHECKMATE
98:black,0-1,Termination.CHECKMATE
99:black,0-1,Termination.CHECKMATE
100:black,0-1,Termination.CHECKMATE
