Game_#:winner,result,reason
1:black,0-1,Termination.CHECKMATE
2:None,1/2-1/2,Termination.STALEMATE
3:black,0-1,Termination.CHECKMATE
4:black,0-1,Termination.CHECKMATE
5:black,0-1,Termination.CHECKMATE
6:black,0-1,Termination.CHECKMATE
7:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
8:black,0-1,Termination.CHECKMATE
9:black,0-1,Termination.CHECKMATE
10:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
11:black,0-1,Termination.CHECKMATE
12:black,0-1,Termination.CHECKMATE
13:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
14:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
15:black,0-1,Termination.CHECKMATE
16:None,1/2-1/2,Termination.STALEMATE
17:black,0-1,Termination.CHECKMATE
18:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
19:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
20:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
21:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
22:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
23:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
24:None,1/2-1/2,Termination.STALEMATE
25:black,0-1,Termination.CHECKMATE
26:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
27:black,0-1,Termination.CHECKMATE
28:black,0-1,Termination.CHECKMATE
29:None,1/2-1/2,Termination.STALEMATE
30:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
31:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
32:black,0-1,Termination.CHECKMATE
33:None,1/2-1/2,Termination.STALEMATE
34:black,0-1,Termination.CHECKMATE
35:black,0-1,Termination.CHECKMATE
36:None,1/2-1/2,Termination.STALEMATE
37:None,1/2-1/2,Termination.STALEMATE
38:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
39:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
40:None,1/2-1/2,Termination.STALEMATE
41:black,0-1,Termination.CHECKMATE
42:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
43:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
44:None,1/2-1/2,Termination.STALEMATE
45:black,0-1,Termination.CHECKMATE
46:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
47:black,0-1,Termination.CHECKMATE
48:white,1-0,Termination.CHECKMATE
49:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
50:None,1/2-1/2,Termination.STALEMATE
51:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
52:None,1/2-1/2,Termination.STALEMATE
53:black,0-1,Termination.CHECKMATE
54:black,0-1,Termination.CHECKMATE
55:black,0-1,Termination.CHECKMATE
56:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
57:black,0-1,Termination.CHECKMATE
58:black,0-1,Termination.CHECKMATE
59:black,0-1,Termination.CHECKMATE
60:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
61:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
62:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
63:black,0-1,Termination.CHECKMATE
64:None,1/2-1/2,Termination.STALEMATE
65:black,0-1,Termination.CHECKMATE
66:black,0-1,Termination.CHECKMATE
67:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
68:black,0-1,Termination.CHECKMATE
69:None,1/2-1/2,Termination.STALEMATE
70:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
71:None,1/2-1/2,Termination.STALEMATE
72:None,1/2-1/2,Termination.STALEMATE
73:black,0-1,Termination.CHECKMATE
74:black,0-1,Termination.CHECKMATE
75:black,0-1,Termination.CHECKMATE
76:black,0-1,Termination.CHECKMATE
77:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
78:None,1/2-1/2,Termination.STALEMATE
79:black,0-1,Termination.CHECKMATE
80:black,0-1,Termination.CHECKMATE
81:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
82:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
83:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
84:black,0-1,Termination.CHECKMATE
85:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
86:black,0-1,Termination.CHECKMATE
87:black,0-1,Termination.CHECKMATE
88:white,1-0,Termination.CHECKMATE
89:black,0-1,Termination.CHECKMATE
90:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
91:black,0-1,Termination.CHECKMATE
92:black,0-1,Termination.CHECKMATE
93:None,1/2-1/2,Termination.SEVENTYFIVE_MOVES
94:black,0-1,Termination.CHECKMATE
95:None,1/2-1/2,Termination.STALEMATE
96:None,1/2-1/2,Termination.STALEMATE
97:white,1-0,Termination.CHECKMATE
98:None,1/2-1/2,Termination.INSUFFICIENT_MATERIAL
99:None,1/2-1/2,Termination.STALEMATE
100:None,1/2-1/2,Termination.FIVEFOLD_REPETITION
