Game_#/Total_Games:winner,result,timestep_score,reason,model_epsilon_value
1/1000:white,1-0,26,Termination.CHECKMATE,0.9
3/1000:black,0-1,87,Termination.CHECKMATE,0.891
8/1000:None,1/2-1/2,235,Termination.INSUFFICIENT_MATERIAL,0.8473321344609
15/1000:black,0-1,163,Termination.CHECKMATE,0.7897689206990712
24/1000:black,0-1,63,Termination.CHECKMATE,0.7214675305851413
32/1000:white,1-0,130,Termination.CHECKMATE,0.6657303360494523
35/1000:white,1-0,86,Termination.CHECKMATE,0.6459574793384475
42/1000:black,0-1,63,Termination.CHECKMATE,0.6020745827127124
48/1000:white,1-0,100,Termination.CHECKMATE,0.5668412680829091
52/1000:white,1-0,178,Termination.CHECKMATE,0.5445054604237829
65/1000:white,1-0,238,Termination.CHECKMATE,0.4778149886596019
75/1000:white,1-0,106,Termination.CHECKMATE,0.43212731091427914
80/1000:black,0-1,143,Termination.CHECKMATE,0.41094877296952315
81/1000:None,1/2-1/2,238,Termination.FIVEFOLD_REPETITION,0.40683928523982793
85/1000:black,0-1,125,Termination.CHECKMATE,0.39080819411263057
90/1000:white,1-0,150,Termination.CHECKMATE,0.3716547040204994
93/1000:black,0-1,87,Termination.CHECKMATE,0.3606161876563865
101/1000:None,1/2-1/2,31,Termination.FIVEFOLD_REPETITION,0.33275667388475383
103/1000:None,1/2-1/2,198,Termination.FIVEFOLD_REPETITION,0.3261348160744472
107/1000:None,1/2-1/2,27,Termination.FIVEFOLD_REPETITION,0.31328380304319786
113/1000:black,0-1,111,Termination.CHECKMATE,0.2949504816940234
114/1000:white,1-0,210,Termination.CHECKMATE,0.29200097687708315
115/1000:black,0-1,17,Termination.CHECKMATE,0.2890809671083123
128/1000:None,1/2-1/2,123,Termination.FIVEFOLD_REPETITION,0.2536746259864172
130/1000:None,1/2-1/2,82,Termination.FIVEFOLD_REPETITION,0.2486265009292875
131/1000:white,1-0,232,Termination.CHECKMATE,0.24614023591999462
133/1000:None,1/2-1/2,88,Termination.FIVEFOLD_REPETITION,0.24124204522518672
136/1000:None,1/2-1/2,228,Termination.STALEMATE,0.23407691523995344
139/1000:None,1/2-1/2,35,Termination.FIVEFOLD_REPETITION,0.22712459678041158
140/1000:None,1/2-1/2,246,Termination.FIVEFOLD_REPETITION,0.22485335081260746
141/1000:white,1-0,44,Termination.CHECKMATE,0.2226048173044814
145/1000:None,1/2-1/2,247,Termination.FIVEFOLD_REPETITION,0.213833299309463
146/1000:None,1/2-1/2,45,Termination.FIVEFOLD_REPETITION,0.2116949663163691
149/1000:white,1-0,190,Termination.CHECKMATE,0.20540741412180666
150/1000:None,1/2-1/2,227,Termination.FIVEFOLD_REPETITION,0.203353339980588
152/1000:None,1/2-1/2,242,Termination.FIVEFOLD_REPETITION,0.199306608514974
153/1000:None,1/2-1/2,86,Termination.FIVEFOLD_REPETITION,0.1973135424298251
155/1000:None,1/2-1/2,49,Termination.FIVEFOLD_REPETITION,0.1933870029354716
156/1000:None,1/2-1/2,236,Termination.STALEMATE,0.19145313290611687
157/1000:None,1/2-1/2,109,Termination.FIVEFOLD_REPETITION,0.189538601577055
158/1000:None,1/2-1/2,94,Termination.FIVEFOLD_REPETITION,0.1876432155612851
159/1000:None,1/2-1/2,244,Termination.FIVEFOLD_REPETITION,0.185766783405672
162/1000:None,1/2-1/2,38,Termination.FIVEFOLD_REPETITION,0.1802493241717404
163/1000:None,1/2-1/2,92,Termination.FIVEFOLD_REPETITION,0.178446830930023
165/1000:None,1/2-1/2,98,Termination.FIVEFOLD_REPETITION,0.1748957389945155
167/1000:None,1/2-1/2,55,Termination.FIVEFOLD_REPETITION,0.1714153137885246
169/1000:None,1/2-1/2,31,Termination.FIVEFOLD_REPETITION,0.1680041490441330
171/1000:None,1/2-1/2,27,Termination.FIVEFOLD_REPETITION,0.1646608664781547
173/1000:None,1/2-1/2,43,Termination.FIVEFOLD_REPETITION,0.1613841152352395
174/1000:None,1/2-1/2,26,Termination.FIVEFOLD_REPETITION,0.1597702740828871
176/1000:None,1/2-1/2,205,Termination.FIVEFOLD_REPETITION,0.156590845628637
178/1000:None,1/2-1/2,46,Termination.FIVEFOLD_REPETITION,0.1534746878006277
179/1000:None,1/2-1/2,74,Termination.FIVEFOLD_REPETITION,0.1519399409226214
180/1000:None,1/2-1/2,62,Termination.FIVEFOLD_REPETITION,0.1504205415133952
181/1000:None,1/2-1/2,78,Termination.FIVEFOLD_REPETITION,0.1489163360982613
182/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.1474271727372786
183/1000:None,1/2-1/2,33,Termination.FIVEFOLD_REPETITION,0.1459529010099058
184/1000:None,1/2-1/2,196,Termination.FIVEFOLD_REPETITION,0.144493371999806
185/1000:None,1/2-1/2,149,Termination.FIVEFOLD_REPETITION,0.143048438279808
186/1000:None,1/2-1/2,232,Termination.FIVEFOLD_REPETITION,0.141617953897010
187/1000:None,1/2-1/2,45,Termination.FIVEFOLD_REPETITION,0.1402017743580405
188/1000:None,1/2-1/2,232,Termination.FIVEFOLD_REPETITION,0.138799756614460
189/1000:None,1/2-1/2,44,Termination.FIVEFOLD_REPETITION,0.1374117590483155
191/1000:None,1/2-1/2,111,Termination.FIVEFOLD_REPETITION,0.134677265043254
192/1000:None,1/2-1/2,46,Termination.FIVEFOLD_REPETITION,0.1333304923928215
193/1000:None,1/2-1/2,36,Termination.FIVEFOLD_REPETITION,0.1319971874688933
194/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.1306772155942044
195/1000:None,1/2-1/2,240,Termination.FIVEFOLD_REPETITION,0.129370443438262
196/1000:None,1/2-1/2,237,Termination.FIVEFOLD_REPETITION,0.128076739003879
197/1000:None,1/2-1/2,47,Termination.FIVEFOLD_REPETITION,0.1267959716138409
198/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.1255280118977025
199/1000:None,1/2-1/2,44,Termination.FIVEFOLD_REPETITION,0.1242727317787255
